RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	10205975	10515920	13.10918	12.312488	13:06:33N	12:18:45E	33PTQ0859450760	ND33-09	P	PPL		NG	02				N				MELERI	Méléri	Meleri	MELERI	Méléri	Meleri		2008-06-17	1,2,3,4	1			2008-06-11		
3	10204856	10514315	13.707327	11.001742	13:42:26N	11:00:06E	32PQA1648016255	ND32-12	P	PPL		NG	02				N				WALEROM	Walérom	Walerom	WALEROM	Walérom	Walerom		2008-06-09	1,2,3,4	1			2008-06-09		
3	-1078516	-1609937	15.743257	13.148427	15:44:36N	13:08:54E	33PUT0161741406	ND33-01	P	PPL		NG	02				V				SEDOUARAM	Sedouaram	Sedouaram	SEDOUARAM	Sedouaram	Sedouaram		2008-06-13	1,2,3,4,5,6,7,8,9				1993-09-01		
3	-1078516	-1600240	15.743257	13.148427	15:44:36N	13:08:54E	33PUT0161741406	ND33-01	P	PPL		NG	02				V				BEDUARAM	Béduaram	Beduaram	BEDUARAM	Béduaram	Beduaram		2008-06-13	1,2,3,4,5,6,7,8,9				1993-09-01		
1	-1078516	-1600239	15.743257	13.148427	15:44:36N	13:08:54E	33PUT0161741406	ND33-01	P	PPL		NG	02				N				BEDOUARAM	Bedouaram	Bedouaram	BEDOUARAM	Bedouaram	Bedouaram		2008-06-13	1,2,3,4,5,6,7,8,9	1			2008-06-13		
3	10204857	10514316	13.667915	11.049111	13:40:04N	11:02:57E	32PQA2164111937	ND32-12	P	PPL		NG	02				N				ABOUNORAM	Abounoram	Abounoram	ABOUNORAM	Abounoram	Abounoram		2008-06-09	1,2,3,4	1			2008-06-09		
3	10207266	10517554	14.001705	12.086786	14:00:06N	12:05:12E	33PSR8528249852	ND33-05	P	PPL		NG	02				N				KARGA	Karga	Karga	KARGA	Karga	Karga		2008-06-16	1,2,3,4	1			2008-06-16		
1	10218295	10534553	14.193771	13.086573	14:11:38N	13:05:12E	33PTR9350870002	ND33-05	P	PPL		NG	02				N				KLAKOUMAGANE	Kla Koumagané	Kla Koumagane	KLAKOUMAGANE	Kla Koumagané	Kla Koumagane		2008-07-03	1,2,3,4	1			2008-07-03		
1	10218296	10534554	14.164006	13.037596	14:09:50N	13:02:15E	33PTR8819366753	ND33-05	P	PPL		NG	02				N				NGORTOGOL	Ngortogol	Ngortogol	NGORTOGOL	Ngortogol	Ngortogol		2008-07-03	1,2,3,4	1			2008-07-03		
1	10218298	10534556	14.111994	13.045243	14:06:43N	13:02:43E	33PTR8897160990	ND33-05	P	PPL		NG	02				N				GAROU	Garou	Garou	GAROU	Garou	Garou		2008-07-03	1,2,3,4	1			2008-07-03		
1	10157681	10426018	13.220325	8.535372	13:13:13N	8:32:07E	32PMV4965961548	ND32-10	P	PPL		NG	07				N				YELOUA	Yéloua	Yeloua	YELOUA	Yéloua	Yeloua		2008-05-28	1,2,3,4	1			2008-03-28		
3	10204545	10513990	13.599441	12.254052	13:35:58N	12:15:15E	33PTR0285505102	ND33-09	P	PPL		NG	02				N				BABAWA	Babawa	Babawa	BABAWA	Babawa	Babawa		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204573	10514020	13.590538	12.92135	13:35:26N	12:55:17E	33PTR7508903402	ND33-09	P	PPL		NG	02				N				NGARANA	Ngarana	Ngarana	NGARANA	Ngarana	Ngarana		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204574	10514021	13.603724	12.884424	13:36:13N	12:53:04E	33PTR7110504895	ND33-09	P	PPL		NG	02				N				LIKITIRE	Likitiré	Likitire	LIKITIRE	Likitiré	Likitire		2008-06-18	1,2,3,4	1			2008-06-09		
3	10204576	10514023	13.57518	12.965867	13:34:31N	12:57:57E	33PTR7989301662	ND33-09	P	PPL		NG	02				N				DJIDENGA	Djidenga	Djidenga	DJIDENGA	Djidenga	Djidenga		2008-06-09	1,2,3,4	1			2008-06-09		
